CNPJ, NOME, EMISSAO, NUMERO, VALOR, CHAVE
05300331000241,Dairy Partners Americas Brasil Ltda,2014-08-23,198709,59465.22,NFe35140805300331000241550010001987091949062744
05300331000241,Dairy Partners Americas Brasil Ltda,2014-08-23,198719,50403.53,NFe35140805300331000241550010001987191152874799
05300331000241,Dairy Partners Americas Brasil Ltda,2014-08-27,200342,7173.17,NFe35140805300331000241550010002003421836641168
05300331000241,Dairy Partners Americas Brasil Ltda,2014-08-27,200343,7863.69,NFe35140805300331000241550010002003431787011787
05300331000241,Dairy Partners Americas Brasil Ltda,2014-08-27,200344,72824.05,NFe35140805300331000241550010002003441505219668
05300331000241,Dairy Partners Americas Brasil Ltda,2014-08-27,200345,42857.02,NFe35140805300331000241550010002003451788557109
05300331000241,Dairy Partners Americas Brasil Ltda,2014-08-28,201101,7173.17,NFe35140805300331000241550010002011011460193319
05300331000241,Dairy Partners Americas Brasil Ltda,2014-08-28,201108,72224.46,NFe35140805300331000241550010002011081393794272
05300331000241,Dairy Partners Americas Brasil Ltda,2014-08-28,201109,7863.68,NFe35140805300331000241550010002011091748196587
05300331000241,Dairy Partners Americas Brasil Ltda,2014-08-28,201110,37142.64,NFe35140805300331000241550010002011101078367051
05300331000241,Dairy Partners Americas Brasil Ltda,2014-08-28,201111,6071.22,NFe35140805300331000241550010002011111181085370
05300331000241,Dairy Partners Americas Brasil Ltda,2014-08-29,201389,29230.91,NFe35140805300331000241550010002013891320478710
05300331000241,Dairy Partners Americas Brasil Ltda,2014-08-29,201390,13791.5,NFe35140805300331000241550010002013901537794681
05300331000241,Dairy Partners Americas Brasil Ltda,2014-09-13,207221,69966.15,NFe35140905300331000241550010002072211788131495
05300331000241,Dairy Partners Americas Brasil Ltda,2014-09-13,207222,50155.08,NFe35140905300331000241550010002072221037087302
05300331000241,Dairy Partners Americas Brasil Ltda,2014-09-13,207223,5798.29,NFe35140905300331000241550010002072231012101562
05300331000241,Dairy Partners Americas Brasil Ltda,2014-09-13,207224,8178.66,NFe35140905300331000241550010002072241447145498
05300331000241,Dairy Partners Americas Brasil Ltda,2014-09-20,210245,2002.18,NFe35140905300331000241550010002102451951604567
05300331000241,Dairy Partners Americas Brasil Ltda,2014-09-20,210246,7769.73,NFe35140905300331000241550010002102461938713126
05300331000241,Dairy Partners Americas Brasil Ltda,2014-09-20,210247,5798.29,NFe35140905300331000241550010002102471331693410
05300331000241,Dairy Partners Americas Brasil Ltda,2014-09-20,210248,71966.48,NFe35140905300331000241550010002102481954550478
05300331000241,Dairy Partners Americas Brasil Ltda,2014-09-20,210249,47618.85,NFe35140905300331000241550010002102491201416020
05300331000241,Dairy Partners Americas Brasil Ltda,2014-09-25,213030,64548.55,NFe35140905300331000241550010002130301004876916
05300331000241,Dairy Partners Americas Brasil Ltda,2014-09-25,213031,52001.13,NFe35140905300331000241550010002130311220654222
05300331000241,Dairy Partners Americas Brasil Ltda,2014-09-25,213032,5115.99,NFe35140905300331000241550010002130321249760125
05300331000241,Dairy Partners Americas Brasil Ltda,2014-09-25,213033,7769.73,NFe35140905300331000241550010002130331106130010
05300331000241,Dairy Partners Americas Brasil Ltda,2014-09-27,213728,48148.52,NFe35140905300331000241550010002137281399436337
